product_id,product_name,category
SKU0001,Hydrating Face Serum,beauty
SKU0002,Organic Jasmine Rice,grocery
SKU0003,Wireless Earbuds,electronics
SKU0004,Non-Slip Yoga Mat,sports
SKU0005,Kids Multivitamin,health
SKU0006,Ceramic Chef Knife,home
SKU0007,Gentle Foaming Cleanser,beauty
SKU0008,Dark Roast Coffee Pods,grocery
SKU0009,Portable SSD 1TB,electronics
SKU0010,Insulated Water Bottle,sports
SKU0011,Daily Whey Protein,health
SKU0012,Modern Storage Bin,home
SKU0013,Brightening Eye Cream,beauty
SKU0014,Whole Grain Fusilli,grocery
SKU0015,Smart Mechanical Keyboard,electronics
SKU0016,Performance Resistance Band,sports
SKU0017,Advanced Omega Capsules,health
SKU0018,Stackable Laundry Basket,home
SKU0019,Daily Barrier Moisturizer,beauty
SKU0020,Stoneground Oatmeal,grocery
SKU0021,Bluetooth Desk Lamp,electronics
SKU0022,Trail Running Belt,sports
SKU0023,Immune Support Gummies,health
SKU0024,Stainless Pan Set,home
SKU0025,Nourishing Sheet Mask,beauty
SKU0026,Roasted Almond Granola,grocery
SKU0027,Compact 4K Webcam,electronics
SKU0028,Recovery Foam Roller,sports
SKU0029,Complete Electrolyte Mix,health
SKU0030,Foldable Step Stool,home
SKU0031,Vitamin C Night Cream,beauty
SKU0032,Extra Virgin Olive Oil,grocery
SKU0033,USB-C Docking Station,electronics
SKU0034,Training Jump Rope,sports
SKU0035,Sleep Support Tablets,health
SKU0036,Glass Meal Prep Set,home
SKU0037,Soothing Micellar Water,beauty
SKU0038,Sea Salt Crackers,grocery
SKU0039,Noise-Canceling Headset,electronics
SKU0040,Grip Strength Trainer,sports
SKU0041,Collagen Peptide Powder,health
SKU0042,Bamboo Cutting Board,home
SKU0043,Balancing Toner Mist,beauty
SKU0044,Chili Garlic Noodles,grocery
SKU0045,Portable Power Bank,electronics
SKU0046,Lightweight Gym Bag,sports
SKU0047,Magnesium Recovery Drink,health
SKU0048,Soft-Close Trash Can,home
SKU0049,Repair Lip Treatment,beauty
SKU0050,Maple Protein Bars,grocery
